doc_id,hotel_name,hotel_url,street,city,state,country,zip,class,price,num_reviews,CLEANLINESS,ROOM,SERVICE,LOCATION,VALUE,COMFORT,overall_ratingsource
usa_new york city_3_west_club,3 west club,http://www.tripadvisor.com/ShowUserReviews-g60763-d217629-r25230531-3_West_Club-New_York_City_New_York.html,3 west 51st st,new york city,ny,USA,10019,-1,-1,8,4.428571429,4.428571429,4.428571429,5,4.714285714,0,4.6
usa_new york city_414_hotel,414 hotel,http://www.tripadvisor.com/ShowUserReviews-g60763-d217630-r47910069-414_Hotel-New_York_City_New_York.html,414 w 46th st,new york city,ny,USA,10036,-1,-1,187,4.073170732,3.987804878,3.914634146,4.646341463,4.268292683,0,4.17804878
usa_new york city_6_columbus,6 columbus,http://www.tripadvisor.com/ShowUserReviews-g60763-d93383-r50300967-6_Columbus-New_York_City_New_York.html,6 columbus circle,new york city,ny,USA,10019,-1,-1,125,4.371428571,3.838095238,4.276190476,4.742857143,4.028571429,0,4.251428571
usa_new york city_60_thompson,60 thompson,http://www.tripadvisor.com/ShowUserReviews-g60763-d93398-r50102862-60_Thompson-New_York_City_New_York.html,60 thompson street,new york city,ny,USA,10012,-1,-1,168,4.219512195,3.634146341,3.975609756,4.634146341,3.37804878,0,3.968292683
usa_new york city_70_park_avenue_hotel_a_kimpton_hotel,70 park avenue hotel a kimpton hotel,http://www.tripadvisor.com/ShowUserReviews-g60763-d93430-r50529135-70_park_avenue_hotel_a_Kimpton_Hotel-New_York_City_New_York.html,70 park avenue,new york city,ny,USA,10016,-1,-1,273,4.335078534,3.916230366,4.209424084,4.486910995,3.890052356,0,4.167539267
usa_new york city_ace_hotel_nyc,ace hotel nyc,http://www.tripadvisor.com/ShowUserReviews-g60763-d1201072-r50358384-Ace_Hotel_NYC-New_York_City_New_York.html,20 west 29th street,new york city,ny,USA,10001,-1,-1,53,4.306122449,4.020408163,4.183673469,3.959183673,4.06122449,0,4.106122449
usa_new york city_affinia_50,affinia 50,http://www.tripadvisor.com/ShowUserReviews-g60763-d502408-r50125834-Affinia_50-New_York_City_New_York.html,155 east 50th street,new york city,ny,USA,10022,-1,-1,336,4.418604651,4.358803987,4.511627907,4.624584718,4.289036545,0,4.440531561
usa_new york city_affinia_dumont,affinia dumont,http://www.tripadvisor.com/ShowUserReviews-g60763-d292142-r50363398-Affinia_Dumont-New_York_City_New_York.html,150 east 34th street,new york city,ny,USA,10016,-1,-1,345,4.485049834,4.485049834,4.411960133,4.647840532,4.352159468,0,4.47641196
usa_new york city_affinia_gardens,affinia gardens,http://www.tripadvisor.com/ShowUserReviews-g60763-d93467-r50436578-Affinia_Gardens-New_York_City_New_York.html,215 east 64th street,new york city,ny,USA,10021,-1,-1,209,4.551282051,4.506410256,4.544871795,4.608974359,4.333333333,0,4.508974359
usa_new york city_affinia_manhattan,affinia manhattan,http://www.tripadvisor.com/ShowUserReviews-g60763-d93562-r50531357-Affinia_Manhattan-New_York_City_New_York.html,371 seventh ave,new york city,ny,USA,10001,-1,-1,328,4.126245847,3.920265781,4.196013289,4.677740864,4.006644518,0,4.18538206
usa_new york city_affinia_shelburne,affinia shelburne,http://www.tripadvisor.com/ShowUserReviews-g60763-d93543-r50477723-Affinia_Shelburne-New_York_City_New_York.html,303 lexington avenue,new york city,ny,USA,10016,-1,-1,485,4.315614618,4.162790698,4.086378738,4.408637874,4.172757475,0,4.22923588
